"","year","month","siteID","total_precip","datetime"
"254",2023,3,"OSBS",167.71,2023-03-01
"255",2023,3,"TALL",118.03,2023-03-01
"256",2023,4,"KONZ",40.5,2023-04-01
"257",2023,4,"ORNL",78.92,2023-04-01
"258",2023,4,"OSBS",112.24,2023-04-01
"259",2023,4,"TALL",143.18,2023-04-01
"260",2023,5,"KONZ",46.91,2023-05-01
"261",2023,5,"ORNL",91.85,2023-05-01
"262",2023,5,"OSBS",167.96,2023-05-01
"263",2023,5,"TALL",95.85,2023-05-01
"264",2023,6,"KONZ",13.23,2023-06-01
"265",2023,6,"ORNL",172.53,2023-06-01
"266",2023,6,"OSBS",262.15,2023-06-01
"267",2023,6,"TALL",47,2023-06-01
"268",2023,7,"KONZ",42.87,2023-07-01
"269",2023,7,"OSBS",182.7,2023-07-01
"270",2023,7,"TALL",98.07,2023-07-01
"271",2023,8,"KONZ",35.85,2023-08-01
"272",2023,8,"OSBS",177.22,2023-08-01
"273",2023,8,"TALL",30.51,2023-08-01
"274",2023,9,"KONZ",27.05,2023-09-01
"275",2023,9,"OSBS",88.44,2023-09-01
"276",2023,9,"TALL",36.13,2023-09-01
"277",2023,10,"KONZ",25.29,2023-10-01
"278",2023,10,"OSBS",155.06,2023-10-01
"279",2023,10,"TALL",29.89,2023-10-01
